,,,,PASSENGER SKD,,,
,,,,Model,Model,Emission,Total
V2539906,STAGE III,ECO1012 4X2 Haulage RHD / H4 120Hp IL BS3 / 3970 WB / LS 17 FT / Cargo day cab / 8 inch BSK 46 Frame / 330 mm diameter Clutch / ZF 6S OD / Meritor RS120 RAR 5.57 / 3000 Front axle / Shackle suspension / ZF P. STG / 8.25R16-16 PR / Non ABS / Exports / Bangladesh / SKD,36,Ecomet,1012,BS3,36
V2539903_WH,STAGE III,ECO1212 STRONG BS4 3.9M 4X2 H4E4ED95-130HP(EGR)-CB18 S6.36OD FA55 DANA-5.57 SS DCAB w/o tyres [SKD] [13.8 GVW] [SL],24,Ecomet,1212,BS4,24
V2542182,STAGE III,ECO1214 BS3 4.2M 4X2 HA4CTI3K-120HP[IL] S6.36OD FA90 DANA-6.17 SS DCAB 9X20TY [SKD] [BANG],12,Ecomet,1214,BS3,12
V2547575,STAGE III,ECO1214 BS3 4.75M 4X2 H4CTI3KE3-120HPIL(A) S6.36OD FA90 DANA-6.17 SS SCAB 9R20TY [20FT LS] [Bang] [SKD],372,Ecomet,1214,BS3,372
V2547577,STAGE III,ECO1214 BS3 4.75M 4X2 H4CTI3KE3-120HPIL(A) S6.36OD FA90 DANA-6.17 SS DCAB 9R20TY [22FT LS] [Bang] [SKD],24,Ecomet,1214,BS3,24
V2542181,STAGE II,ECO1212 BS3 4X2 / H4 120Hp IL BS3 / 4200 WB / LS 19 FT / Cargo day cab / ZF S6 36 OD / DANA 60SHO RAR 6.17 8.25R20TY [Bang] [SKD],48,Ecomet,1214,BS3,72
V2555501,STAGE III,ECO1214 BS3 5.5M 4X2 H4CTI3KE3-120HPIL(A) S6.36OD FA90 DANA-6.17 SS SCAB 9R20TY [24FT LS] [Garments appln] [Bangladesh] [SKD],204,Ecomet,1214,BS3,228
V2539910_BL,STAGE III,ECO1012 4X2 Haulage RHD / H4 120Hp IL BS3 / 3900 WB / LS 17 FT / Cargo day cab / 8 inch BSK 46 Frame / 330 mm diameter Clutch / ZF 6S OD / Meritor MS120 RAR 5.57 / 3000 Front axle / Shackle suspension / ZF P. STG / 8.25X16-16PR / Non ABS / Exports / Uganda / SKD,12,Ecomet,1012,BS3,12
V2542187_BL,STAGE III,ECO1214 4X2 Haulage RHD / H4 120Hp IL BS3 / 4200 WB / LS 19 FT / Cargo day cab / 8 inch BSK 46 Frame / 330 mm diameter Clutch / ZF 6S OD / DANA 60SHO RAR 6.17 / FA90 / Shackle suspension / Rane P. STG / 9.00X20-16 PR / Non ABS / Exports / Uganda / SKD,12,Ecomet,1214,BS3,12
V2542187_WH,STAGE III,ECOMET 1214 4X2 Haulage RHD / H4 120Hp IL BS3 / 4200 WB / LS 19 FT / Cargo day cab / 8 inch BSK 46 Frame / 330 mm diameter Clutch / ZF 6S OD / DANA 60SHO RAR 6.17 / FA90 / Shackle suspension / Rane P. STG / 9.00X20-16 PR / Non ABS / Exports / Uganda / SKD,24,Ecomet,1214,BS3,24
V2532556_WH,STAGE III,ECO1012 4X2 Haulage / H4 130Hp EGR BS4 engine / LUK 330 mm diameter clutch / ZF 6S OD gear box 6.93 FGR 0.728 OD / Meritor RS 120 rear axle RAR 5.57 / 8.25X16-16 PR / 8-Inch BSK 46 Frame / 3250 WB / LS 14 FT / Cargo 3000 Front axle / ABS Brakes / All shackle type suspension / Cargo day cab / ZF 8043 P. STG / RHD Drive / 200 L metal fuel tank / Exports / Sri Lanka / SKD,24,Ecomet,1012,BS4,24
V2542188_WH,STAGE III,ECO1012 4X2 Haulage / H4 130Hp EGR BS4 engine / LUK 330 mm diameter clutch / ZF 6S OD gear box 6.93 FGR 0.728 OD / Meritor RS 120 rear axle RAR 5.57 / 8.25X16-16 PR / 8-Inch BSK 46 Frame / 4200 WB / LS 19 FT / Cargo 3000 Front axle / ABS Brakes / All shackle type suspension / Cargo day cab / ZF 8043 P. STG / RHD Drive / 200 L metal fuel tank / Exports / Sri Lanka / SKD,24,Ecomet,1012,BS4,24
V2539911_WH,STAGE III,ECOMET 1012 4X2 Haulage / H4 130Hp EGR BS4 engine / LUK 330 mm diameter clutch / ZF 6S OD gear box 6.93 FGR 0.728 OD / Meritor RS 120 rear axle RAR 5.57 / 8.25X16-16 PR / 8-Inch BSK 46 Frame / 3970 WB / LS 17 FT / Cargo 3000 Front axle / ABS Brakes / All shackle type suspension / Cargo day cab / ZF 8043 P. STG / RHD Drive / 200 L metal fuel tank / Exports / Sri Lanka / SKD,12,Ecomet,1012,BS4,12
V6547071,STAGE III,Cargo 1616 4X2 / H6 160Hp IL BS3 / 4700 WB / LS 20 FT / SCAB / ZF S6 36 DD / MS149.7-6.17 / FA90 / SS /10R20TY [SKD] [Bang],120,Cargo,1616,BS3,120
V6553403,STAGE III,Cargo 1616 4X2 BS3 H6ETI3KE3-160HPIL / 5334 WB / LS 24 FT / SCAB / ZF S6 36 DD / MS149.7-6.17 / FA90 / SS /10R20TY [SKD] [Bang],360,Cargo,1616,BS3,400
V6554018_WH,STAGE III,"1618/3C BS4 210"" 4X2 H6E4ED132-180HP(EGR)-CB18 S6.36 FA90 MR148-4.88/DANA4.88 SS SCAB 10X20TY SKD [SL]",60,Cargo,1618/3C,BS4,60
V6547067_WH,STAGE III,"1618/2C BS4 185"" 4X2 H6E4ED132-180HP(EGR)-CB18 S6.36 FA91 MR148-4.88/DANA4.88 SS SCAB 10X20TY SKD [SL]",180,Cargo,1618/2C,BS4,180
VFT01540_WH,STAGE III,"2518T BS3 150"" 6X4 HA6ETI3UN-180HP[IL] 6S-EATON FA91 SQR109-6.17 NRS DCAB 10X20TY 12FET [SKD] [KENYA]",80,Tipper,2518T,BS3,80
V6550420_WH,STAGE III,"2518H BS4 198"" 6X4 H6E4ED132-180HP(EGR)-CB18 6S850 FA90 SQR109-6.17 NRS SCAB 10X20TY [SKD] [SL]",60,Haulage,2518H,BS4,60
V6550419_WH,STAGE II,"2518H BS3 198"" 6X4 HA6ETI3UN-180HP(IL) 6S-EATON FA90 SQR109-6.17 NRS SCAB [SKD]",20,Haulage,2518H,BS3,20
VFT01626,STAGE II,"U2518T BS3 153"" 6X4 HA6ETI3UN-180HP(IL) 9S1110 FA99 MT149.7-6.83 BGS G91-DCAB 11R22.5TY 12FET [SKD] [KENYA]",8,U Truck,U2518,BS3,8
VFT01626_WH,STAGE II,"U2518T BS3 153"" 6X4 HA6ETI3UN-180HP(IL) 9S1110 FA99 MT149.7-6.83 BGS G91-DCAB 11R22.5TY 12FET [SKD] [KENYA]",16,U Truck,U2518,BS3,16
,0,Total IO Trucks SKD,1744,TOTAL TRUCK SKD,,,1856
,,Total IO SKD,10857,,,,11665
,0,Grand Total (Conveyor+SKD Kit),126433,,,,144406
,,SKD Content,10857,,,,11665
